epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3733.43,0.78208,0.70947,1.10449,0.39301,0.21687,0.22211,0.1203,1.51391,2.65362,1.95965,0.00044925,0.00044925,0.00044925
65,3791.93,0.76178,0.71143,1.11282,0.87475,0.21042,0.22516,0.14467,1.53162,2.29023,2.03374,0.000444174,0.000444174,0.000444174
66,3852.35,0.75483,0.70118,1.08488,0.38693,0.24218,0.25149,0.15399,1.53438,2.34061,1.91065,0.000439099,0.000439099,0.000439099
67,3906.17,0.75287,0.70977,1.09504,0.36416,0.27642,0.2536,0.13509,1.60677,2.31503,2.05949,0.000434024,0.000434024,0.000434024
68,3965.69,0.74206,0.67727,1.08406,0.52869,0.20074,0.2398,0.11305,1.69155,2.58165,2.17165,0.000428948,0.000428948,0.000428948
69,4024.41,0.75254,0.69064,1.09413,0.83655,0.21978,0.26234,0.13813,1.69509,2.55552,2.11239,0.000423873,0.000423873,0.000423873
70,4077.17,0.72605,0.64672,1.05379,0.83542,0.17857,0.25103,0.14504,1.65365,2.51281,2.08931,0.000418797,0.000418797,0.000418797
71,4136.24,0.71068,0.66401,1.06515,0.81978,0.16623,0.23753,0.14531,1.6557,2.77413,2.08084,0.000413722,0.000413722,0.000413722
72,4195.75,0.7481,0.69733,1.07165,0.76194,0.19766,0.28484,0.16757,1.578,2.47586,2.04746,0.000408647,0.000408647,0.000408647
73,4250.03,0.69881,0.60639,1.05377,0.40908,0.31341,0.34348,0.17146,1.65402,2.43844,2.05279,0.000403571,0.000403571,0.000403571
74,4308.9,0.65608,0.61815,1.06085,0.28165,0.43662,0.29682,0.17348,1.74337,2.48574,2.11648,0.000398496,0.000398496,0.000398496
75,4367.52,0.71716,0.63734,1.06911,0.25738,0.31905,0.23296,0.14162,1.72977,2.72542,2.05622,0.00039342,0.00039342,0.00039342
76,4421.14,0.70604,0.5823,1.04754,0.59018,0.28673,0.26409,0.15047,1.64418,2.81913,1.97558,0.000388345,0.000388345,0.000388345
77,4479.61,0.68089,0.59015,1.0538,0.42982,0.2948,0.28744,0.16756,1.68696,2.73398,2.06694,0.00038327,0.00038327,0.00038327
78,4539.03,0.68524,0.59906,1.04872,0.24851,0.29134,0.29817,0.14744,1.70768,2.41,2.08203,0.000378194,0.000378194,0.000378194
79,4593.28,0.68692,0.58701,1.06891,0.45748,0.3331,0.31622,0.17322,1.62519,2.71772,1.95777,0.000373119,0.000373119,0.000373119
80,4652.61,0.69146,0.60878,1.04474,0.22606,0.33157,0.28554,0.16804,1.6511,2.70181,1.93405,0.000368043,0.000368043,0.000368043
81,4712.25,0.66378,0.5736,1.04653,0.71539,0.27282,0.28173,0.16217,1.78383,2.47091,2.11321,0.000362968,0.000362968,0.000362968
82,4766.2,0.68246,0.58394,1.04584,0.5558,0.30258,0.31994,0.17708,1.76862,2.46287,2.15991,0.000357893,0.000357893,0.000357893
83,4825.53,0.67208,0.59954,1.05186,0.35858,0.30123,0.27292,0.15421,1.84659,3.0354,2.24821,0.000352817,0.000352817,0.000352817
84,4885.16,0.64639,0.56789,1.0437,0.32815,0.15462,0.23596,0.1347,1.79472,3.27463,2.21389,0.000347742,0.000347742,0.000347742
85,4939.14,0.67389,0.58379,1.03905,0.55067,0.19184,0.26402,0.14138,1.69103,3.00121,2.26157,0.000342666,0.000342666,0.000342666
86,4998.77,0.64153,0.56493,1.01424,0.39646,0.20543,0.23916,0.1418,1.66096,2.58597,2.14826,0.000337591,0.000337591,0.000337591
87,5058.1,0.62692,0.53052,1.01038,0.48969,0.19301,0.25147,0.12753,1.70678,2.60858,2.17981,0.000332516,0.000332516,0.000332516
88,5111.97,0.65341,0.5621,1.01564,0.57991,0.23972,0.2627,0.1494,1.68507,2.95574,2.1506,0.00032744,0.00032744,0.00032744
89,5171.09,0.62533,0.53717,1.00605,0.45316,0.19558,0.2176,0.11653,1.59846,2.95127,2.13201,0.000322365,0.000322365,0.000322365
90,5229.34,0.6256,0.53575,1.03333,0.55471,0.14116,0.17807,0.09519,1.66142,3.03732,2.18905,0.000317289,0.000317289,0.000317289
91,5283.82,0.61083,0.561,1.03123,0.13284,0.18118,0.17008,0.09184,1.74833,3.07365,2.29785,0.000312214,0.000312214,0.000312214
92,5342.59,0.62725,0.57035,1.0254,0.38493,0.14626,0.19524,0.11451,1.71533,2.85465,2.2189,0.000307139,0.000307139,0.000307139
93,5399.99,0.59817,0.52992,1.00759,0.54927,0.18022,0.23495,0.13904,1.70006,2.73479,2.21421,0.000302063,0.000302063,0.000302063
94,5458.04,0.57689,0.51005,1.00302,0.61007,0.20715,0.24991,0.14332,1.63631,2.65561,2.17825,0.000296988,0.000296988,0.000296988
95,5515.6,0.61725,0.53869,1.02522,0.48482,0.20894,0.2679,0.14574,1.55352,2.82869,2.06411,0.000291912,0.000291912,0.000291912
96,5574.06,0.56372,0.48632,0.98943,0.2611,0.25131,0.233,0.13774,1.48236,2.87974,1.90945,0.000286837,0.000286837,0.000286837
97,5632.11,0.5748,0.48698,0.97224,0.35174,0.29932,0.26256,0.15969,1.51305,2.95238,1.94465,0.000281762,0.000281762,0.000281762
98,5690.1,0.57289,0.49304,1.00918,0.37569,0.28555,0.26139,0.14969,1.54445,3.02097,1.9933,0.000276686,0.000276686,0.000276686
99,5749,0.56089,0.48704,0.97395,0.44186,0.22955,0.26138,0.1589,1.61484,3.16453,2.00802,0.000271611,0.000271611,0.000271611
100,5802.27,0.57987,0.49046,0.99943,0.33469,0.22585,0.26241,0.15888,1.7001,3.0568,2.10801,0.000266535,0.000266535,0.000266535
101,5860.83,0.55761,0.48315,0.98632,0.41646,0.26146,0.30918,0.16845,1.64594,2.78085,2.05231,0.00026146,0.00026146,0.00026146
102,5920.11,0.5667,0.50587,0.98601,0.42384,0.25986,0.31099,0.20137,1.53233,2.50828,1.96712,0.000256385,0.000256385,0.000256385
103,5975.24,0.55056,0.47406,0.98503,0.73764,0.23095,0.34483,0.21168,1.49805,2.57131,1.96645,0.000251309,0.000251309,0.000251309
104,6037.32,0.52891,0.44819,0.97592,0.39959,0.29754,0.34691,0.18909,1.58698,2.68124,2.0759,0.000246234,0.000246234,0.000246234
105,6097.13,0.55558,0.47173,0.98027,0.54936,0.29463,0.3086,0.19657,1.58584,2.84923,2.10982,0.000241158,0.000241158,0.000241158
106,6157.02,0.5436,0.46577,1.00287,0.56296,0.29388,0.29837,0.19777,1.56304,2.71057,2.07393,0.000236083,0.000236083,0.000236083
107,6216.99,0.5077,0.45219,0.9646,0.52543,0.33759,0.36399,0.22041,1.49972,2.47676,1.94714,0.000231008,0.000231008,0.000231008
108,6275.87,0.52568,0.46402,0.97794,0.69794,0.2488,0.31897,0.20094,1.52382,2.57997,1.96299,0.000225932,0.000225932,0.000225932
109,6334.74,0.53007,0.46129,0.97093,0.72455,0.28481,0.35747,0.20201,1.58052,2.64851,2.03368,0.000220857,0.000220857,0.000220857
110,6390.85,0.51942,0.45421,0.98472,0.5089,0.27823,0.3133,0.18569,1.62864,2.74183,2.11933,0.000215781,0.000215781,0.000215781
111,6450.37,0.51199,0.4429,0.96441,0.58854,0.18367,0.27245,0.16812,1.62947,2.74055,2.15124,0.000210706,0.000210706,0.000210706
112,6509.94,0.53666,0.4818,1.0076,0.49985,0.20748,0.28037,0.17145,1.56655,2.8675,1.98017,0.000205631,0.000205631,0.000205631
113,6564.72,0.52125,0.43977,0.96293,0.34556,0.26311,0.30695,0.18077,1.54295,2.66339,1.95673,0.000200555,0.000200555,0.000200555
114,6621.96,0.53816,0.46037,0.95962,0.32011,0.26296,0.29676,0.18168,1.55228,2.68006,1.99232,0.00019548,0.00019548,0.00019548
115,6679.8,0.5148,0.44488,0.96699,0.46201,0.2415,0.26886,0.18815,1.64777,2.78589,2.05829,0.000190404,0.000190404,0.000190404
116,6739.44,0.4931,0.42369,0.95944,0.49066,0.22368,0.27503,0.17454,1.59485,2.979,2.0524,0.000185329,0.000185329,0.000185329
117,6798.77,0.5172,0.4399,0.96504,0.5985,0.18197,0.29113,0.1722,1.6293,2.97812,2.04598,0.000180254,0.000180254,0.000180254
118,6858.07,0.50078,0.41705,0.97543,0.48692,0.19728,0.25912,0.14516,1.69711,2.98818,2.08641,0.000175178,0.000175178,0.000175178
119,6913.61,0.50854,0.43892,0.97098,0.54597,0.17347,0.25312,0.13515,1.71204,2.91664,2.11747,0.000170103,0.000170103,0.000170103
120,6974.13,0.46977,0.40925,0.9455,0.7418,0.16837,0.26045,0.15014,1.80579,2.99741,2.18418,0.000165027,0.000165027,0.000165027
121,7034.27,0.47688,0.39663,0.94979,0.61928,0.17418,0.26501,0.14795,1.82498,2.98189,2.18643,0.000159952,0.000159952,0.000159952
