epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,637.946,0.56025,0.46017,0.94908,0.64967,0.30543,0.31395,0.1876,1.57795,2.72742,1.77933,0.000271611,0.000271611,0.000271611
100,643.976,0.56496,0.47574,0.96775,0.37522,0.30352,0.29398,0.16884,1.67718,2.9086,1.84926,0.000266535,0.000266535,0.000266535
101,649.026,0.55892,0.47461,0.96416,0.51381,0.2343,0.28439,0.17522,1.68586,3.10118,1.87749,0.00026146,0.00026146,0.00026146
102,654.939,0.55776,0.48292,0.95892,0.32484,0.22245,0.25255,0.15887,1.69214,2.96722,1.84657,0.000256385,0.000256385,0.000256385
103,660.647,0.55411,0.48228,0.96552,0.30796,0.27144,0.28119,0.18543,1.57647,2.80893,1.78023,0.000251309,0.000251309,0.000251309
104,665.81,0.53614,0.43422,0.9538,0.55184,0.2551,0.24927,0.15632,1.41117,2.82739,1.69924,0.000246234,0.000246234,0.000246234
105,671.071,0.53942,0.46517,0.94303,0.79692,0.20918,0.25113,0.17793,1.37564,2.76943,1.67539,0.000241158,0.000241158,0.000241158
106,676.447,0.53377,0.45301,0.96901,0.81808,0.20994,0.26943,0.19693,1.41494,2.86168,1.71297,0.000236083,0.000236083,0.000236083
107,681.455,0.52081,0.44727,0.94794,0.75824,0.20091,0.25778,0.18205,1.38647,2.83501,1.65318,0.000231008,0.000231008,0.000231008
108,686.648,0.5462,0.46557,0.96117,0.44307,0.31088,0.28362,0.20602,1.3291,2.84084,1.58151,0.000225932,0.000225932,0.000225932
109,692.621,0.52977,0.45104,0.94866,0.54928,0.28197,0.31021,0.21983,1.32223,2.84899,1.60063,0.000220857,0.000220857,0.000220857
110,698.724,0.52579,0.44571,0.95871,0.70186,0.2869,0.30466,0.21539,1.33262,2.78594,1.63477,0.000215781,0.000215781,0.000215781
111,705.175,0.50291,0.43771,0.92851,0.84772,0.26486,0.33897,0.22666,1.37881,2.75364,1.64111,0.000210706,0.000210706,0.000210706
